TIMESTAMP  | ERR_MSG | Latitude: XXXXXXX, Longitude: XXXXXXXXX
1672544709 | SUCCESS | Latitude: -9.9260, Longitude: 107.0358
1672544711 | SUCCESS | Latitude: -10.0266, Longitude: 107.1102
1672544713 | SUCCESS | Latitude: -10.1271, Longitude: 107.1846
1672544715 | SUCCESS | Latitude: -10.2276, Longitude: 107.2592
1672544717 | SUCCESS | Latitude: -10.3281, Longitude: 107.3337
1672544719 | SUCCESS | Latitude: -10.4285, Longitude: 107.4083
1672544721 | SUCCESS | Latitude: -10.5541, Longitude: 107.5017
1672544723 | SUCCESS | Latitude: -10.6545, Longitude: 107.5765
1672544725 | SUCCESS | Latitude: -10.7549, Longitude: 107.6512
1672544727 | SUCCESS | Latitude: -10.8552, Longitude: 107.7261
1672544729 | SUCCESS | Latitude: -10.9556, Longitude: 107.8010
1672544731 | SUCCESS | Latitude: -11.0559, Longitude: 107.8759
1672544734 | SUCCESS | Latitude: -11.1812, Longitude: 107.9697
1672544736 | SUCCESS | Latitude: -11.2815, Longitude: 108.0448
1672544738 | SUCCESS | Latitude: -11.3817, Longitude: 108.1199
1672544740 | SUCCESS | Latitude: -11.4820, Longitude: 108.1951
1672544742 | SUCCESS | Latitude: -11.5822, Longitude: 108.2704
1672544744 | SUCCESS | Latitude: -11.6824, Longitude: 108.3457
1672544746 | SUCCESS | Latitude: -11.8075, Longitude: 108.4400
1672544748 | SUCCESS | Latitude: -11.9076, Longitude: 108.5154
1672544750 | SUCCESS | Latitude: -12.0077, Longitude: 108.5910
1672544752 | SUCCESS | Latitude: -12.1078, Longitude: 108.6666
1672544754 | SUCCESS | Latitude: -12.2079, Longitude: 108.7422
1672544756 | SUCCESS | Latitude: -12.3079, Longitude: 108.8179
1672544758 | SUCCESS | Latitude: -12.4079, Longitude: 108.8937
1672544761 | SUCCESS | Latitude: -12.5330, Longitude: 108.9887
1672544763 | SUCCESS | Latitude: -12.6330, Longitude: 109.0646
1672544765 | SUCCESS | Latitude: -12.7329, Longitude: 109.1406
1672544767 | SUCCESS | Latitude: -12.8327, Longitude: 109.2166
1672544769 | SUCCESS | Latitude: -12.9326, Longitude: 109.2928
1672544771 | SUCCESS | Latitude: -13.0325, Longitude: 109.3690
1672544773 | SUCCESS | Latitude: -13.1572, Longitude: 109.4643
1672544775 | SUCCESS | Latitude: -13.2570, Longitude: 109.5407
1672544777 | SUCCESS | Latitude: -13.3567, Longitude: 109.6171
1672544779 | SUCCESS | Latitude: -13.4564, Longitude: 109.6936
1672544781 | SUCCESS | Latitude: -13.5561, Longitude: 109.7701
1672544783 | SUCCESS | Latitude: -13.6557, Longitude: 109.8467
1672544785 | SUCCESS | Latitude: -13.7553, Longitude: 109.9234
1672544788 | SUCCESS | Latitude: -13.8798, Longitude: 110.0194
1672544790 | SUCCESS | Latitude: -13.9793, Longitude: 110.0963
1672544792 | SUCCESS | Latitude: -14.0789, Longitude: 110.1732
1672544794 | SUCCESS | Latitude: -14.1783, Longitude: 110.2502
